agent_id,name,email,department,status,hire_date
14,박종수,siui@example.com,고객지원,통화중,2023-07-09
40,한은지,yeongceolbag@example.net,영업지원,온라인,2022-10-25
31,김민재,hyeonusong@example.org,영업지원,오프라인,2024-07-16
46,이지영,jangmijeong@example.org,일반상담,오프라인,2024-10-15
18,박건우,gimminji@example.org,일반상담,오프라인,2024-03-21
49,박정순,pson@example.org,기술지원,오프라인,2024-05-30
27,신은경,jangsujin@example.net,영업지원,통화중,2024-08-25
26,김영수,ogjagim@example.org,고객지원,휴무,2022-07-17
33,김은주,ecoe@example.com,기술지원,통화중,2023-01-02
20,이영일,gimyeongsig@example.com,영업지원,통화중,2023-02-27
13,김도윤,junho22@example.org,일반상담,오프라인,2025-01-18
5,이아름,uminsu@example.com,영업지원,온라인,2022-07-22
38,주유진,gyeongjajang@example.net,기술지원,휴무,2023-08-20
9,배재현,junyeong07@example.net,기술지원,온라인,2022-12-31
4,전진호,jeongsungim@example.com,기술지원,통화중,2024-10-02
7,이지훈,tcoe@example.org,고객지원,휴무,2024-10-13
42,김정훈,gyeongsui@example.com,영업지원,온라인,2022-07-09
47,김준혁,dgim@example.com,일반상담,오프라인,2022-09-16
48,이예준,bagseongjin@example.net,고객지원,오프라인,2023-04-09
16,박은주,gyeongsucoe@example.com,영업지원,휴무,2023-03-26
10,박하윤,jimin54@example.net,기술지원,오프라인,2023-07-03
17,김성현,aseong@example.com,영업지원,통화중,2023-07-31
25,김정웅,gimeunju@example.org,기술지원,휴무,2022-06-12
35,김미영,juweongim@example.com,기술지원,통화중,2023-12-17
32,김상호,fgim@example.net,기술지원,통화중,2024-08-29
1,장현지,seohyejin@example.net,고객지원,온라인,2022-07-14
45,최수진,donghyeon06@example.net,일반상담,온라인,2025-05-27
28,윤현숙,yeongsug18@example.org,고객지원,통화중,2025-05-28
34,차지영,lcoe@example.com,영업지원,오프라인,2024-06-03
6,김민지,gangyejun@example.org,일반상담,휴무,2023-06-30
30,류정순,seonyeong55@example.net,영업지원,통화중,2024-12-04
12,이정식,gimsiu@example.org,고객지원,통화중,2024-10-21
37,김예지,haeun87@example.com,고객지원,온라인,2024-06-26
2,김서윤,ao@example.net,고객지원,오프라인,2023-10-01
22,김상철,xgim@example.com,영업지원,통화중,2024-08-10
