contact_id,name,phone,email,company,job,birthday,is_favorite
2,권현정,055-796-7895,hyeonji48@example.net,홍박김,광석 및 석제품 가공기 조작원,1970-12-15,True
3,김영숙,032-392-5857,gwangsu98@example.com,이박손,임상병리사,1954-11-30,False
6,김순옥,054-025-2800,heosanghyeon@example.net,(유) 이심이,제빵원 및 제과원,1970-10-13,True
7,이민지,053-770-1565,gimminji@example.com,이심지,경비원,1983-07-15,False
8,김광수,051-689-8661,seoyeonggim@example.org,(유) 한황지,관세사,2010-03-31,False
9,김민준,061-087-5657,vsim@example.net,남김이,정보 시스템 운영자,1953-04-18,True
10,이진우,031-268-4104,zsin@example.org,박김,조적공 및 석재 부설원,2006-04-24,False
11,김예진,053-567-4744,ji@example.org,유한회사 김최장,기타 사회복지관련 종사원,1954-10-16,False
12,김성현,063-527-4980,jeongho86@example.org,(유) 김이박,방수공,1948-05-22,False
13,이정훈,02-9627-8120,nyun@example.com,김박윤,숙박시설 서비스원,1989-03-25,False
15,김보람,043-692-8327,jeongsun63@example.org,이박문,기타 사회복지관련 종사원,1972-04-30,True
19,오미영,042-041-3798,jaehyeon08@example.net,오곽김,도금 및 금속분무기 조작원,1985-03-03,False
20,박병철,043-401-5640,hanmisug@example.org,(유) 송문김,철근공,1973-02-27,True
22,권현지,018-038-4736,cunjagim@example.net,주식회사 박,손해사정인,1976-08-30,False
24,송예지,032-904-3693,baggyeongsug@example.org,유한회사 최,보건위생 및 환경 검사원,1958-12-25,False
26,박정웅,042-821-3950,ki@example.com,유한회사 이,도배공 및 유리 부착원,1961-11-10,False
27,황영일,052-300-3885,gimsanghyeon@example.com,김오류,제품 생산관련 관리자,1978-03-01,False
28,노정웅,033-853-1888,coeyejun@example.net,주식회사 백,강구조물 가공원 및 건립원,1965-05-06,False
30,서채원,053-959-6720,wi@example.net,주식회사 이,유리제조 및 가공기 조작원,1991-10-23,False
31,김상호,054-004-2250,jiweoni@example.net,오김,지휘자/작곡가 및 연주가,1954-08-20,False
33,이성수,064-735-2379,seungmingim@example.org,주식회사 이강김,조경원,1997-08-08,False
35,이은정,042-156-3911,bagminjun@example.com,류김,고객 상담 및 모니터 요원,2001-09-01,False
36,구지후,051-221-6765,nhwang@example.net,이이,음식서비스관련 관리자,1972-01-02,False
