player_id,username,email,nickname,level,total_games,wins,losses,current_rating,created_at
129,lryu,yeongceol03@example.org,은서,82,926,302,36,896,2024-01-18
291,ijiu,gimjaehyeon@example.org,승현,84,861,366,399,2312,2024-08-18
9,yejunbag,bagsanghyeon@example.net,미숙,73,23,39,122,991,2024-07-07
71,yeongsug03,mi@example.net,정자,94,898,376,63,1149,2024-01-27
265,jaeho10,zcoe@example.org,정수,81,250,251,322,1100,2023-06-02
65,kgim,gosangho@example.com,예은,76,164,444,214,1207,2023-12-11
45,yeongsugim,yeongho52@example.org,성훈,54,414,340,403,2015,2024-03-24
280,yunjeongung,gimeunyeong@example.com,미영,89,243,69,285,1058,2024-09-05
157,minseo74,cunja12@example.net,정수,24,595,465,281,1299,2024-12-21
41,jaeho33,yeongceolhan@example.net,현준,26,618,25,153,830,2024-09-13
124,sunog25,jihubag@example.net,서윤,96,864,476,211,1409,2023-09-16
276,subin09,gimgyeongsu@example.com,현준,97,563,259,159,1547,2023-11-06
217,han,anseongjin@example.com,영일,33,258,55,198,1331,2024-08-09
154,sanghunhan,di@example.org,경희,55,896,85,92,1592,2024-09-08
24,yejungim,gheo@example.net,성현,47,542,108,57,2400,2023-11-08
262,agim,myeongja43@example.org,상호,83,880,179,110,2213,2025-03-15
111,eunyeongi,iseonyeong@example.com,영희,32,173,477,416,2455,2025-04-19
82,jbag,subin94@example.net,수빈,88,356,362,271,1592,2023-11-24
208,jgim,yeongmi13@example.org,상현,55,528,168,300,1118,2025-02-16
213,pgim,minseo85@example.com,은서,12,742,313,466,1188,2024-11-02
40,jgim,coegyeongja@example.org,영숙,77,136,396,127,1195,2025-02-01
241,bagjeongho,seoyeonbag@example.net,은영,23,747,475,495,2344,2024-11-24
292,nbag,gimyeongsug@example.net,명자,53,48,492,212,1950,2023-10-22
259,ogeonu,sujin37@example.org,광수,62,842,217,442,1340,2025-05-11
200,honghyeonji,jiyeoni@example.org,보람,7,282,368,390,2036,2024-08-11
15,gimjeonghun,oyeongho@example.org,서연,69,332,336,76,1242,2024-11-16
48,gyeonghyigim,mryu@example.net,준호,14,544,354,69,2192,2024-11-03
95,ngim,miyeong33@example.org,상철,51,433,9,463,1308,2024-07-02
264,baggyeongsu,yeongsig37@example.com,은영,73,514,278,295,2471,2024-04-03
228,yeongil63,hayunryu@example.net,민서,12,749,284,365,977,2024-02-22
274,jeongsiggang,minjibag@example.net,정호,74,110,179,18,1713,2024-05-03
202,coeseoyeon,gimsanghyeon@example.com,시우,41,302,341,88,2152,2024-01-14
162,seonghun20,hgim@example.net,준서,48,823,115,398,1920,2024-03-28
44,yeji52,sangho30@example.com,경자,65,987,388,343,1496,2024-10-13
218,yejinhwang,qgim@example.net,정수,1,724,237,374,1559,2025-02-02
146,gimminjun,zi@example.org,정남,23,912,499,14,1291,2025-01-15
191,yujin70,sanghyeon99@example.org,영환,82,675,462,308,1015,2024-05-15
221,pi,gimjunyeong@example.net,지영,92,179,73,411,950,2025-04-27
252,junhyeog83,gimjuweon@example.net,승민,74,791,392,414,1500,2025-02-17
4,jinu76,siumun@example.com,은서,24,779,24,316,1080,2024-03-31
106,yeongceoljeon,gyeongsuggim@example.org,명자,57,521,81,126,2333,2024-01-15
54,hyeonjun40,eungyeongcoe@example.org,미정,39,10,98,355,1392,2023-09-04
134,jeongho24,ieunseo@example.net,정웅,47,550,464,109,2389,2025-04-22
2,minjae40,ogim@example.org,순옥,85,703,19,80,1512,2024-05-31
132,bgim,ogsunseo@example.org,서연,94,217,377,186,2017,2023-08-01
104,hyeonsug44,xi@example.net,지훈,92,669,134,453,1605,2024-04-29
50,gimsiu,jeongjiweon@example.com,지민,34,505,253,228,2066,2025-02-12
81,jihyeonjang,miyeongbaeg@example.net,정웅,43,543,293,98,2052,2025-04-28
206,gimjeongsu,iujin@example.com,승민,85,430,399,484,1452,2023-08-22
35,wcoe,ssong@example.net,진우,2,318,74,214,1938,2024-05-09
92,hwangseoyun,seonghyeonyang@example.net,정식,97,564,498,472,2474,2024-03-24
53,yejii,seoyeonryu@example.net,서윤,51,408,449,176,1876,2024-01-07
242,yeweon54,cgim@example.org,정숙,29,905,433,234,2158,2025-05-25
14,jeongsun33,hyeonsugjeong@example.net,지훈,47,915,284,422,1963,2024-12-04
89,byeongceol51,pha@example.net,승민,84,864,382,256,965,2024-08-13
167,seonghyeon49,ii@example.net,영호,80,375,206,27,2112,2024-05-05
295,ogsun99,wi@example.com,정수,65,697,361,319,1476,2025-01-22
135,gimjeonghun,gimjinu@example.net,지후,5,595,56,353,1388,2024-02-10
288,yeongjin90,minseogi@example.com,서준,44,681,34,86,903,2023-07-30
244,ujingim,jiyeonjang@example.org,민준,23,468,192,189,1134,2025-04-08
55,pgang,jangjihye@example.com,성수,11,80,453,4,1516,2024-01-28
51,jaehyeon39,sjeong@example.org,상훈,37,222,446,23,2420,2023-06-22
175,bcoe,ihyeonu@example.com,춘자,28,427,313,210,1440,2025-04-24
190,uu,hyejingim@example.com,은지,35,778,266,144,1114,2023-12-10
299,yeweongang,junyeongan@example.com,현숙,62,753,175,76,1074,2024-04-13
188,mijeong71,hwangjeongung@example.org,미숙,46,732,441,65,2072,2025-03-29
170,igim,gyeonghyibaeg@example.net,은주,66,264,470,353,2453,2023-09-29
59,jimincoe,imisug@example.org,혜진,11,70,162,96,1039,2023-07-04
49,ujin04,fgim@example.org,종수,70,122,372,147,1009,2023-06-14
236,egim,gyeongja87@example.net,민수,32,423,429,131,1808,2025-02-10
253,gimminjae,yujinan@example.org,지연,43,916,431,321,1529,2024-01-26
22,yeeun48,eunji56@example.net,영철,2,819,452,371,1971,2025-01-08
161,jaehyeon27,jihyei@example.com,도윤,94,645,81,438,1349,2024-07-12
277,gimminjun,sgim@example.com,수진,30,571,233,223,1274,2024-06-28
192,yeongsug23,yeongsubag@example.org,정남,54,606,107,497,1574,2023-12-30
258,hyeonjui,rcoe@example.net,상현,10,251,29,255,2286,2024-06-21
150,ryusunja,jeongjai@example.net,춘자,8,22,379,446,1215,2025-03-13
131,jeongsug00,sjeong@example.org,경자,63,422,17,381,1247,2025-04-23
152,ryueunjeong,bsong@example.com,동현,36,55,399,390,1556,2024-11-07
100,boram08,yeonggil61@example.com,지혜,10,79,330,277,1202,2025-01-09
88,gweondonghyeon,jiweongim@example.net,영길,89,541,284,69,2110,2023-07-31
215,bagjeongho,qgang@example.net,예진,51,277,379,377,2361,2024-05-03
122,ano,gimjeongja@example.com,수민,46,459,313,398,1067,2024-11-06
300,sanghyeonbag,myeongjagweon@example.com,영자,88,420,138,240,2067,2024-08-26
21,junyeong66,ri@example.net,도윤,25,304,399,390,1879,2024-02-12
189,yeongsig04,juweonbag@example.com,준서,57,369,285,114,1633,2024-06-07
72,ygim,yujin95@example.com,예은,100,250,328,475,1808,2024-10-06
107,yeongho84,nryu@example.net,은지,82,171,213,247,2059,2025-01-27
271,mijeonggim,yanggyeongsug@example.com,도현,53,333,86,450,2174,2025-01-23
103,jiweon92,ksim@example.com,지민,33,85,369,200,1834,2025-04-05
