user_id,phone,auth_status,subscription_type,is_online,warning_count,last_login,created_at
1,051-564-0478,인증완료,무료,False,3,2024-11-01 09:35:47.553790,2025-02-23 10:54:48.313720
6,041-753-0192,인증완료,무료,False,1,2025-04-04 21:32:25.534769,2025-04-10 16:25:15.334316
37,041-496-7454,미인증,VIP,False,0,2024-09-27 22:46:17.343872,2025-02-13 00:20:35.448605
46,043-281-2299,인증대기,프리미엄,False,2,2024-07-04 13:20:51.120270,2025-05-02 19:53:22.685762
14,02-5732-1211,인증완료,무료,True,0,2024-09-09 08:51:29.097267,2025-02-11 05:55:45.568571
55,02-7407-2531,인증대기,프리미엄,False,0,2024-07-10 13:21:06.231215,2024-12-14 02:40:26.181075
34,061-819-5962,인증대기,프리미엄,False,3,2025-03-01 18:38:15.147194,2025-05-17 19:57:44.836876
49,064-787-4926,미인증,무료,False,3,2024-06-07 04:20:45.359234,2025-01-18 14:07:18.078534
13,019-734-2140,인증완료,골드,False,1,2025-04-02 09:38:19.424999,2025-01-05 08:30:40.163946
58,017-102-3835,인증완료,골드,False,3,2025-05-16 04:06:28.441699,2025-04-06 18:30:33.996926
47,017-019-5127,인증완료,프리미엄,True,0,2025-03-08 10:22:53.644121,2025-01-15 06:18:02.141877
51,054-650-7335,인증대기,프리미엄,False,2,2024-08-22 05:09:48.553441,2025-01-08 07:30:07.601719
32,052-872-5988,인증대기,VIP,False,3,2024-10-21 11:17:28.453401,2025-01-11 06:05:12.595155
4,033-339-1751,인증대기,VIP,False,1,2025-05-31 03:21:04.842144,2025-04-27 15:55:53.726494
53,032-647-5435,인증대기,프리미엄,False,2,2024-11-26 12:28:13.893289,2025-05-29 08:35:38.508485
18,054-913-1223,미인증,무료,False,3,2024-11-28 20:42:10.400012,2025-03-07 22:32:17.230766
9,055-000-5150,인증완료,VIP,False,1,2025-02-23 12:15:43.676795,2025-05-29 02:49:01.325352
7,042-454-4874,인증완료,VIP,False,0,2025-05-27 22:00:44.373700,2025-01-01 15:17:47.559407
41,041-988-5688,미인증,무료,True,2,2024-07-20 04:55:46.736232,2025-01-02 14:20:26.119925
5,052-721-6027,인증대기,VIP,True,2,2025-04-17 01:37:04.149860,2025-02-21 22:45:00.153868
44,033-262-2905,인증완료,골드,True,2,2025-05-15 19:15:31.118120,2025-04-15 23:51:05.106119
20,041-756-3183,인증완료,골드,False,0,2025-03-21 07:43:20.408270,2025-03-24 12:14:01.635373
35,052-496-0193,인증완료,무료,False,1,2024-06-08 15:29:53.207861,2025-02-05 23:37:29.677443
59,018-038-6016,인증대기,VIP,False,0,2024-08-12 04:45:43.363312,2024-12-19 15:48:23.054910
