contact_id,group_id,name,phone,email,birthday,is_favorite
1,8,김정자,041-864-0112,yeongsuha@example.com,2004-04-11,False
2,8,안상철,063-027-6321,gangjihye@example.net,1952-12-14,False
3,7,유서윤,041-356-1841,jeongho85@example.net,1953-11-04,False
4,4,김준혁,043-101-3928,ihyeonsug@example.net,1971-01-03,True
5,6,박예원,053-039-0329,jeonghobag@example.com,2005-08-20,False
6,8,안준호,051-569-5181,ogsun35@example.com,1967-07-31,False
7,9,전시우,02-5569-3224,igim@example.net,1995-10-30,True
8,8,이현우,010-0421-8261,hyeonju41@example.com,1973-12-08,False
9,5,최동현,017-737-4699,coeyeongil@example.net,1956-03-01,False
10,10,박영숙,055-647-1476,seunghyeon60@example.net,1969-02-11,False
11,6,강준서,055-689-2653,yeongjincoe@example.org,1970-03-22,False
12,4,김예지,032-614-7940,yeongjin79@example.org,1988-05-04,False
13,3,권경자,051-535-7069,iyeongjin@example.net,1999-03-06,True
14,4,박재호,055-225-1299,kgang@example.com,2009-03-31,False
15,8,류은정,055-867-1748,bagjiu@example.net,1953-12-28,False
16,8,최민서,044-549-2667,gimjeongsun@example.net,1970-11-27,True
17,7,양서연,010-6652-8546,seoyeon63@example.com,1968-07-03,False
18,2,김지은,070-2942-0803,zgim@example.com,2009-05-21,True
19,2,김은지,055-395-7556,yeongjagim@example.net,1947-07-22,False
20,3,김준서,02-5829-2417,wi@example.com,1956-08-22,False
21,5,이상철,041-040-9358,qo@example.org,2001-11-07,False
22,5,김경숙,011-187-1245,eungyeong33@example.com,1948-02-13,False
23,6,이민수,043-942-1192,tcoe@example.com,1984-01-29,False
24,4,한영길,010-4907-9195,seonyeong47@example.com,2007-07-30,False
25,8,박경숙,018-863-6028,eungyeongi@example.net,1970-02-18,False
26,1,김도현,031-121-7333,ugim@example.com,1982-05-18,False
27,10,이상호,053-412-5923,siui@example.net,1991-11-25,True
28,5,장예준,017-292-3776,eunji64@example.org,1970-05-17,False
29,5,양광수,017-355-4578,seunghyeon40@example.com,1954-01-25,False
30,9,최성수,011-403-2989,hhwang@example.com,2007-03-02,False
31,4,이성훈,02-7967-4246,isanghun@example.com,1948-07-02,True
32,1,김영일,042-557-4138,seojunbag@example.com,1996-02-29,False
33,9,박정수,042-254-1620,zyu@example.com,1974-04-28,False
34,2,이우진,053-754-6773,jeongsug49@example.org,1974-10-24,False
35,7,권영철,062-847-2660,naseoyeong@example.org,1980-05-30,False
36,5,진미정,042-068-0205,aseong@example.com,1988-07-05,False
37,8,허영순,064-710-6126,gangmijeong@example.com,2010-01-01,False
38,8,김영식,031-335-7027,yeeun59@example.org,1981-09-07,False
39,8,이도윤,019-435-5437,jeonyeongsun@example.org,1997-06-08,False
40,10,윤현우,051-390-5929,hyejin75@example.org,1991-08-10,True
41,3,김현숙,02-5231-7611,coehaeun@example.com,1982-07-16,False
42,9,김하윤,010-5913-4651,gimjinu@example.org,1981-08-01,False
43,6,김명자,055-007-0946,seoyeon80@example.org,2003-11-30,False
44,5,권준서,063-267-8002,seoyeong41@example.com,1990-08-24,False
45,10,권민수,070-9772-2980,jongsui@example.com,1972-09-28,False
46,2,김서현,062-532-2415,yuneungyeong@example.com,1967-07-06,False
47,6,김은영,044-043-7970,hyeonjunbag@example.com,1946-11-02,False
48,9,안현우,061-922-1947,fu@example.org,1967-12-01,False
49,9,송영수,043-093-7559,gimseungmin@example.org,1952-05-22,False
50,8,이건우,043-227-0513,jiyeon39@example.org,1958-05-12,False
51,5,박지후,062-553-1980,gimyeonggil@example.com,2008-11-20,True
52,1,윤정자,053-305-0734,gimeunseo@example.org,2006-07-20,False
53,3,김지혜,070-3054-7270,ujin68@example.net,1973-11-04,False
54,3,이현우,019-885-9188,sangho69@example.com,1959-09-17,False
55,9,우시우,062-139-9263,jangseongmin@example.com,1978-03-15,True
56,5,이성현,054-118-8765,tgim@example.com,2009-09-16,False
57,1,안경숙,063-499-8682,yunseobag@example.net,1965-12-06,False
58,8,오병철,017-609-0378,sunog70@example.com,2001-09-08,False
59,2,이성민,064-766-4359,bagsangho@example.net,1964-01-04,False
60,10,김영호,055-113-1185,cyun@example.com,1965-12-11,False
61,3,김종수,02-5090-6538,eunju73@example.com,1972-09-02,False
62,3,최예진,052-217-7946,hyeonjeong73@example.com,1996-12-02,False
63,9,한예진,062-578-5295,xi@example.org,1964-08-02,False
64,8,송민지,063-774-9268,bagseojun@example.org,2007-05-28,False
65,3,오영철,033-129-4974,zcoe@example.org,1978-01-31,False
66,8,고재호,02-7661-6103,yueunju@example.net,1953-08-18,False
67,5,최서연,031-375-4542,seongho20@example.com,2001-03-04,True
68,7,황재호,062-893-3617,dgim@example.net,1979-11-04,False
69,2,이미정,053-948-2006,bagcunja@example.org,1989-02-21,False
