taker_id,name,email,age,gender,phone,job,hospital_details,registration_date
96,김승현,hayunseo@example.com,22,남성,052-459-5208,만화가 및 만화영화 작가,False,2023-09-16
16,김민석,seongsu15@example.org,50,여성,054-551-1594,물품이동 장비 조작원,True,2023-12-03
31,구영일,seoyeong15@example.com,58,여성,055-422-5170,음식서비스관련 관리자,True,2024-06-07
159,우준영,hyeonjugim@example.org,38,여성,044-162-3841,영상 및 관련 장비 설치 및 수리원,False,2024-11-11
129,이서준,yunminji@example.com,61,남성,016-220-0471,상점 판매원,True,2025-03-26
116,이정자,hanjeongsig@example.net,19,남성,044-909-2741,경기심판 및 경기기록원,False,2023-07-04
70,권지민,ugweon@example.com,27,남성,018-343-1869,전자공학 기술자 및 연구원,True,2024-09-02
171,박서준,ijunhyeog@example.org,51,여성,019-149-4810,가수 및 성악가,True,2024-05-14
175,이정남,eca@example.net,28,남성,010-2201-0007,기타 금융 및 보험 관련 전문가,True,2024-10-14
46,성선영,miyeonggim@example.com,52,남성,042-636-9588,매장계산원 및 요금정산원,True,2023-11-07
67,박영길,ghwang@example.net,55,여성,062-290-3390,데이터베이스 개발자,False,2024-09-29
183,홍성수,myeongjabag@example.org,54,남성,011-279-0978,기타 이미용/예식 및 의료보조 서비스 종사원,True,2024-05-19
166,김준서,yeongjin53@example.com,19,남성,02-2836-3035,단조기 조작원,True,2024-12-08
79,서명자,xbag@example.org,52,여성,054-714-4116,한식 주방장 및 조리사,False,2024-02-16
187,차지혜,gyeongsu52@example.org,35,여성,053-719-4586,보험 설계사 및 간접투자증권 판매인,False,2024-02-08
178,박수진,sangceolgim@example.com,20,남성,052-777-3107,제품 및 광고 영업원,False,2023-08-24
57,우성호,gimdonghyeon@example.com,33,남성,053-832-2907,가구조립원,False,2024-12-27
153,박서윤,tgim@example.com,23,남성,053-640-6937,홍보 도우미 및 판촉원,False,2025-01-15
83,김서연,sanghun53@example.com,45,여성,062-378-7366,강구조물 가공원 및 건립원,True,2024-01-30
69,김현우,jinhojang@example.net,21,여성,018-364-5665,보일러 설치 및 정비원,True,2024-09-14
125,이정남,hyeonu28@example.com,25,남성,052-323-3874,경기심판 및 경기기록원,True,2025-03-31
17,윤수빈,ibag@example.net,30,여성,053-685-8298,기타 공학관련 기술자 및 시험원,True,2023-12-05
149,김성수,iminjun@example.com,38,남성,019-276-8913,인사 및 노사 관련 전문가,True,2023-10-01
94,박순옥,junhyeogi@example.com,38,여성,02-4963-9852,영상/녹화 및 편집 기사,False,2024-11-13
66,성지현,tcoe@example.net,58,여성,019-345-6227,과수작물 재배원,False,2024-06-03
61,강영순,fhong@example.net,31,남성,055-889-9594,자동차 부분품 조립원,False,2023-08-20
85,강현정,siu15@example.org,31,남성,062-895-3183,사진인화 및 현상기 조작원,False,2023-09-08
68,박정남,jiweon42@example.net,58,여성,064-722-3712,버스 운전원,True,2023-11-22
126,김미정,rcoe@example.org,37,남성,061-741-3610,직조기 및 편직기 조작원,False,2025-01-31
133,권예진,eunjeong58@example.net,50,여성,011-810-6877,금속 / 재료공학 시험원,False,2024-06-08
10,김현정,yeongsuggim@example.org,62,남성,019-927-6010,기술 영업원,False,2024-11-15
19,홍지훈,jeongsig27@example.com,40,여성,053-704-6855,환경공학 시험원,True,2025-02-20
56,이민수,xji@example.com,48,여성,044-991-7746,조경 기술자,False,2024-11-22
76,엄서연,minsuno@example.net,40,여성,064-712-7317,기타 문리/기술 및 예능 강사,False,2023-09-24
151,송영일,sangceol74@example.com,24,여성,019-628-7434,양식원,False,2023-10-18
105,권정웅,jgim@example.net,20,여성,062-843-0322,점토제품 생산기 조작원,False,2025-01-03
136,박정식,jeongja15@example.net,57,남성,043-430-6137,응급구조사,False,2025-03-29
138,박미경,gimminseog@example.com,44,남성,041-942-1188,임상 심리사 및 기타 치료사,True,2024-12-04
165,장윤서,hyeonsuggim@example.com,52,남성,011-419-7308,환경공학 시험원,False,2024-06-10
77,김민수,sunog65@example.org,57,여성,02-5398-6518,화학공학 시험원,True,2025-04-26
80,박상훈,minji31@example.com,54,여성,053-211-9154,웹 및 멀티미디어 디자이너,False,2023-12-21
198,이명숙,gimseoyun@example.net,59,여성,011-526-8207,직업 운동선수,False,2024-12-04
39,이미정,ei@example.com,19,여성,031-414-7155,금속공작기계 조작원,False,2023-08-14
25,김상훈,junho09@example.com,25,여성,017-000-5657,컴퓨터 하드웨어 기술자 및 연구원,False,2024-01-26
123,손준혁,jeongnambag@example.org,23,여성,010-9611-8129,화학물 가공장치 조작원,True,2023-06-26
196,홍중수,junho72@example.net,35,여성,070-0455-6993,보험 및 금융 상품 개발자,False,2024-08-09
30,김은지,sangceoli@example.com,25,여성,031-421-9324,법률/경찰/소방 및 교도 관리자,True,2025-02-24
20,강서영,lno@example.net,61,남성,02-7633-2369,광원/채석원 및 석재 절단원,False,2024-12-11
144,박숙자,bagjihun@example.net,41,남성,017-887-9627,보일러 설치 및 정비원,False,2024-01-14
87,김현정,cahyeonjun@example.com,56,여성,044-270-7201,보일러 설치 및 정비원,True,2025-03-01
115,박지훈,gimjeongung@example.net,63,여성,061-848-4884,홍보 도우미 및 판촉원,True,2024-04-29
174,이정희,ijeongung@example.org,24,여성,017-787-2889,사진기자 및 사진가,False,2024-06-12
6,박준서,ehan@example.org,58,남성,044-069-3491,사회복지사,True,2024-07-09
127,김정식,jihu31@example.net,19,여성,019-694-6840,항공기 정비원,False,2024-01-10
118,박은서,minseoggang@example.net,51,남성,063-870-8824,컴퓨터 보안 전문가,True,2023-11-20
74,박정훈,sbag@example.net,59,여성,051-139-4049,영상 및 관련 장비 설치 및 수리원,False,2025-01-24
141,박종수,bi@example.com,49,남성,010-3551-3731,숙박시설 서비스원,False,2024-12-14
99,이경수,ijeongnam@example.com,19,여성,063-360-4736,총무 사무원,True,2024-05-12
173,이지현,kbae@example.org,30,여성,031-833-3640,조림/영림 및 벌목원,True,2024-10-02
97,류은정,ijeongsig@example.com,21,남성,041-457-7426,화물차 및 특수차 운전원,True,2024-09-19
170,김영환,minjun42@example.com,33,남성,016-184-2470,기타 여가 및 스포츠 관련 종사원,True,2024-06-15
98,오순자,gimjeongnam@example.com,34,여성,061-152-8681,계기 검침원 및 가스점검원,False,2023-10-11
32,김수빈,xson@example.net,43,여성,041-461-6002,특수교육 교사,False,2024-07-24
13,이예지,wi@example.org,61,여성,017-668-4641,보건의료관련 관리자,False,2024-12-21
36,한현준,jeongnam46@example.org,28,여성,070-3816-6865,제품 생산관련 관리자,False,2024-09-23
120,황중수,gweonyeongceol@example.net,21,남성,010-9037-2679,배관 세정원 및 방역원,False,2023-11-28
43,고광수,sunogmun@example.org,35,여성,016-670-9207,패턴사,False,2025-01-27
190,김예은,songjeongung@example.com,53,남성,070-2970-5283,감정평가 전문가,False,2024-07-02
91,배지민,gangjihye@example.com,32,여성,054-508-4239,철도 및 전동차 기관사,True,2025-02-06
137,김영환,qgim@example.org,63,남성,061-904-3643,한식 주방장 및 조리사,False,2023-09-27
52,강성훈,junhyeog64@example.org,48,여성,044-848-3910,네트워크시스템 개발자,True,2023-06-17
128,이춘자,subin60@example.net,65,여성,042-152-4267,택배원,False,2024-10-22
163,민지원,gimjaehyeon@example.net,50,남성,011-541-8078,통신 및 관련 장비 설치 및 수리원,False,2023-10-29
42,오미숙,gwagbyeongceol@example.net,55,여성,041-418-0587,비서,True,2025-05-29
119,곽성민,oeunju@example.net,49,남성,064-777-7252,부동산 컨설턴트 및 중개인,True,2023-07-17
114,안영길,ygim@example.com,53,여성,064-776-0220,국악 및 전통예능인,False,2025-05-02
27,장준호,jaeho73@example.net,25,여성,031-311-5127,과실 및 채소 관련 기계조작원,False,2025-03-17
140,박은영,dbag@example.org,33,남성,054-110-3127,경기감독 및 코치,False,2025-03-21
101,김경수,bagyunseo@example.com,22,남성,053-781-8662,제화원,False,2023-09-26
112,김서윤,sanghungang@example.net,51,여성,02-6199-7133,정부행정 관리자,False,2024-08-21
