user_id,phone,subscription_type,is_online,warning_count,last_login,created_at
1,053-543-3603,골드,True,1,2024-07-11 12:47:10.046747,2025-04-12 12:07:34.340612
2,019-913-1951,VIP,False,3,2025-04-03 15:37:12.582605,2024-12-14 08:02:12.255041
3,043-036-7715,무료,False,1,2025-01-25 04:02:18.003606,2025-04-08 20:33:59.436601
4,019-335-6059,프리미엄,False,0,2024-06-22 14:49:25.451361,2025-03-27 12:40:19.339718
5,063-890-2592,골드,False,1,2025-03-05 06:14:37.075887,2025-05-06 13:24:29.086817
6,041-303-1492,VIP,False,3,2024-09-22 01:32:10.721837,2025-02-12 22:06:42.416651
7,017-659-0121,무료,False,3,2024-10-29 17:08:45.427758,2025-05-29 22:22:56.236719
8,043-714-6790,골드,False,2,2025-04-21 10:26:51.495318,2024-12-13 10:59:30.774129
9,054-774-6810,VIP,False,0,2025-05-25 10:11:10.629725,2025-05-01 09:56:01.836522
10,041-046-8136,VIP,True,1,2024-12-16 00:28:10.465814,2025-04-09 07:57:30.810366
11,043-710-5743,무료,False,3,2025-01-20 19:22:21.765581,2025-01-19 06:04:26.321138
12,063-470-1757,프리미엄,True,0,2025-02-02 01:05:08.258134,2024-12-10 00:27:03.961985
13,010-3518-4696,VIP,False,1,2025-04-06 16:00:48.809154,2025-02-12 22:40:05.130932
14,042-120-8274,골드,False,0,2024-10-24 03:51:50.560872,2025-02-11 23:21:28.494133
15,053-918-5390,VIP,False,1,2025-03-11 11:34:22.389553,2025-03-04 20:30:52.415983
16,018-754-8230,골드,False,3,2024-12-12 20:23:04.754885,2025-01-20 15:21:26.727351
17,051-658-7526,무료,True,0,2024-12-14 00:49:26.577660,2025-01-02 11:35:08.801686
18,016-258-0371,골드,True,0,2024-07-25 03:53:04.338802,2025-02-04 13:05:41.116012
19,051-788-9519,골드,False,0,2025-02-04 07:00:29.256058,2025-02-24 19:04:43.346552
20,042-840-5873,프리미엄,False,1,2024-06-08 12:20:58.328844,2025-04-02 08:42:17.064567
21,016-773-1662,무료,False,2,2024-07-23 15:49:21.294434,2025-05-21 01:44:01.847534
22,032-303-9975,VIP,False,1,2025-03-17 23:00:28.363967,2025-04-28 10:15:05.715457
23,017-295-0600,VIP,True,2,2025-01-31 20:23:53.416527,2025-04-27 07:55:14.365201
24,053-087-6379,무료,False,3,2024-07-04 07:00:10.167138,2025-05-13 05:32:15.854617
25,064-713-6399,무료,True,1,2025-01-29 12:56:25.460130,2024-12-28 10:55:00.798522
26,054-159-7261,골드,True,2,2025-02-15 14:55:41.768956,2024-12-08 18:51:59.017434
27,043-345-6728,무료,False,3,2025-01-12 22:26:08.276348,2025-04-20 02:16:19.412885
28,019-842-8854,무료,False,3,2024-08-23 06:39:04.167232,2025-03-30 18:16:06.107968
29,043-369-6993,프리미엄,False,2,2024-12-06 15:58:19.714353,2025-04-30 03:50:42.351061
30,055-153-6296,골드,True,2,2024-12-31 02:11:18.863029,2024-12-19 20:44:29.164078
31,016-003-3878,골드,False,3,2025-02-23 21:13:05.784252,2025-04-09 17:58:25.308331
32,055-201-8930,프리미엄,True,0,2024-09-05 07:31:04.135319,2025-05-22 22:51:48.143969
33,041-330-3229,골드,False,3,2024-12-11 18:23:18.343131,2025-05-10 07:33:19.066033
34,016-660-5942,골드,True,3,2024-09-20 12:13:47.717412,2025-03-31 14:39:13.880951
35,064-786-7292,VIP,False,1,2024-07-18 16:08:24.714933,2025-01-19 01:39:41.450823
36,064-767-2476,골드,False,1,2024-10-14 20:53:50.114520,2025-03-18 06:10:44.197645
37,031-774-8373,VIP,False,2,2024-11-22 18:54:55.788045,2025-04-07 14:55:09.366413
38,053-958-0516,VIP,False,0,2024-07-02 14:19:05.637506,2025-05-25 03:29:17.392586
39,042-775-7433,무료,True,2,2025-01-31 00:14:35.193677,2025-03-03 00:10:15.242723
40,043-292-4757,프리미엄,False,0,2025-02-14 17:59:18.754714,2025-04-06 16:20:37.510140
41,041-971-8290,골드,False,3,2024-08-31 09:01:47.978134,2025-04-29 12:22:40.028237
42,055-985-2126,무료,False,0,2024-07-02 19:58:58.459066,2025-02-06 09:40:46.065006
43,051-134-1558,프리미엄,True,0,2025-01-20 05:08:59.776710,2025-03-01 08:47:10.070191
44,041-273-8144,프리미엄,False,3,2025-03-25 04:59:39.789436,2025-01-19 04:48:56.218286
45,043-068-4369,무료,False,3,2024-06-20 06:08:10.519015,2025-01-02 03:19:21.843510
46,070-4967-0867,VIP,False,1,2024-08-27 15:59:37.778936,2025-02-21 12:56:36.539731
47,041-212-9001,VIP,True,1,2025-03-30 08:16:38.209820,2025-02-02 07:30:09.629941
48,044-480-8378,골드,False,0,2024-09-01 21:41:15.521301,2025-03-10 03:13:22.077131
49,011-027-6061,VIP,False,2,2024-12-31 06:49:50.735514,2025-02-13 11:37:51.327812
50,018-705-6345,골드,False,0,2024-06-27 06:22:16.807659,2024-12-11 19:14:16.738698
51,02-4063-6554,골드,False,3,2024-12-07 00:49:59.706811,2025-06-01 21:06:53.487796
52,041-558-0792,무료,False,3,2025-05-18 19:52:36.448564,2024-12-24 16:32:36.234596
53,063-607-9270,골드,True,0,2024-10-24 05:43:44.852910,2025-02-21 18:27:29.431905
54,016-071-8273,VIP,True,0,2024-08-21 05:09:43.821968,2025-02-23 09:52:15.261389
55,018-389-7776,무료,False,3,2025-05-26 09:11:26.851333,2025-06-01 14:30:58.351267
56,062-977-0421,무료,False,3,2025-03-18 14:39:11.759099,2025-03-30 18:09:45.096047
57,032-873-7904,골드,True,2,2025-02-03 07:02:19.690375,2025-02-01 23:54:50.334376
58,052-082-6988,무료,False,3,2024-10-17 01:33:02.179507,2025-05-23 21:29:08.820179
59,041-011-1527,프리미엄,False,1,2024-09-17 07:36:48.706081,2024-12-19 14:42:41.460545
60,011-647-1263,무료,False,0,2025-03-23 15:45:45.232923,2025-02-20 00:42:45.318952
