player_id,username,email,nickname,level,wins,losses,created_at,current_rating
1,isangho,gimjihun@example.org,윤서,49,248,267,2024-06-18,2132
2,ieunjeong,sangceolgim@example.org,채원,27,170,8,2024-07-09,1822
3,useo,hyeonsug27@example.org,정호,54,69,431,2024-12-17,2422
4,idoyun,yeonghwangim@example.net,현주,99,489,388,2024-01-10,1780
5,jeonghun82,cunjagim@example.net,영숙,6,180,22,2023-12-09,1223
6,wgo,sugjayu@example.com,수민,60,492,265,2023-09-22,2195
7,juweoni,geonu43@example.org,채원,9,251,367,2023-07-27,1389
8,bryu,junseo22@example.org,예지,17,129,263,2024-10-26,2106
9,seonghyeongim,ohwang@example.net,선영,7,354,188,2024-06-22,1460
10,xgim,jihyeongim@example.com,지훈,72,371,79,2024-01-28,2041
11,lhwang,imiyeong@example.org,성현,97,373,82,2024-08-22,942
12,coeyeweon,areumryu@example.org,예지,66,85,419,2025-04-16,2465
13,mi,iogja@example.net,준영,22,469,34,2025-03-28,2127
14,seongho15,xgim@example.com,진호,85,349,401,2024-07-08,2039
15,wgweon,bagyeonghyi@example.com,숙자,61,18,226,2023-12-04,1528
16,seungmingim,oyeji@example.org,준혁,47,124,466,2025-05-07,1744
17,snam,sugjai@example.com,영호,77,86,478,2024-12-29,1808
18,hnam,chan@example.com,은경,72,209,376,2024-04-07,2012
19,iminsu,iminseo@example.org,지영,40,462,322,2023-07-17,1401
20,baghayun,gimseojun@example.org,영자,58,122,470,2024-08-26,802
21,mhwang,ogim@example.com,영일,13,232,468,2024-09-12,2174
22,mgweon,yeongmigim@example.org,은영,63,249,235,2023-08-14,984
23,namseongmin,geonu47@example.org,상현,71,139,379,2024-11-14,1769
24,bagjungsu,goyeonghyi@example.com,미영,20,432,315,2024-01-30,2118
25,minseogim,pgim@example.com,은정,65,302,303,2025-02-08,1167
26,bbae,minseo87@example.com,영호,99,248,448,2024-02-13,2445
27,jihyegim,hyeonjugim@example.org,지민,67,26,345,2025-02-07,1345
28,dcoe,iboram@example.com,지후,79,43,70,2024-12-15,821
29,jungsuo,jinhobag@example.org,영미,6,108,325,2023-07-16,2467
30,yeongsungim,gimhyeonjun@example.com,동현,90,397,224,2023-11-02,1239
31,yeongsuneom,iseo@example.net,경수,74,447,107,2024-11-20,1646
32,yeeunbae,jeongsugim@example.net,주원,50,441,495,2024-06-02,1159
33,minseogi,yeonghojang@example.net,민수,7,404,470,2025-01-11,1507
34,sanghogim,jgim@example.org,민준,52,126,4,2024-09-22,1512
35,jeongsugsim,jeongho90@example.net,병철,83,248,332,2024-03-23,1079
36,songyeji,jaehyeon64@example.com,성훈,42,78,19,2024-08-25,2030
37,qbag,hhan@example.com,은정,67,319,220,2024-08-04,1197
38,dohyeongim,junhogim@example.org,영수,24,8,361,2023-11-11,2377
39,bagyujin,boram08@example.com,중수,32,199,208,2024-10-02,1334
40,neom,hyeonjuncoe@example.net,영일,82,18,20,2024-01-01,810
41,simjihye,jihui@example.net,하은,49,399,449,2023-12-03,1668
42,bagjeongsug,seungminyun@example.net,지은,28,232,92,2024-04-14,2383
43,boram40,ugim@example.net,지현,50,476,312,2024-12-13,2327
44,junhoo,hyeonsug55@example.net,명자,29,134,414,2023-06-23,2059
45,jihui,minjunjang@example.com,수진,72,62,166,2023-08-29,2074
46,jeonghoi,jgim@example.net,수진,72,176,326,2024-07-16,1845
47,ljeong,jinhobag@example.org,선영,31,249,45,2023-08-12,1750
48,ehwang,usong@example.org,은지,36,309,276,2025-04-20,1657
49,coejiyeon,jeongsun35@example.net,현주,60,147,258,2023-09-09,1599
50,qyun,eunjii@example.net,병철,65,80,170,2024-12-17,1806
51,bagjeonghyi,hamijeong@example.org,순자,48,153,49,2024-07-25,1865
52,eunseojeong,eunjicoe@example.com,준서,10,269,44,2024-12-14,2061
53,fryu,subin93@example.org,은서,73,51,262,2024-02-18,2277
54,misug48,seonyeongryu@example.com,정식,82,2,326,2024-07-28,1521
55,jiyeongi,fi@example.com,민석,82,326,205,2024-02-28,1603
56,ri,minjii@example.net,지아,53,440,333,2023-10-24,2193
57,seojun36,gimjiu@example.com,민재,64,60,448,2025-01-29,1616
58,wcoe,igwag@example.com,하은,18,279,95,2023-12-25,1036
59,si,vbag@example.com,채원,21,200,238,2024-01-24,2307
60,sanghyeon40,isubin@example.net,준서,67,452,136,2024-08-20,1167
61,yangminji,hyeonu01@example.net,영환,19,88,265,2024-12-03,1443
62,mcoe,gosiu@example.net,윤서,91,443,261,2023-08-26,1160
63,ijiyeong,ibag@example.org,상호,31,489,173,2023-10-05,2090
64,jeongnamgim,gimjinu@example.net,상철,96,489,274,2024-12-12,2192
65,dgim,jiseunghyeon@example.org,성호,10,35,158,2024-09-27,2036
66,gimyeonggil,yejungim@example.net,미경,34,295,145,2025-02-22,1924
67,yeonghyisong,jaehyeon49@example.net,경자,94,445,494,2024-08-06,2037
68,gweonseonghyeon,hyeonsug22@example.net,서연,59,227,230,2023-08-19,1410
69,ijeongsun,sumin27@example.com,채원,84,381,217,2023-11-03,1012
70,seonghobag,yejun12@example.org,정훈,30,319,343,2024-09-25,936
71,gimjuweon,seongsubag@example.com,미정,35,206,316,2025-03-20,902
72,sanghyeoni,yangmyeongsug@example.org,상철,44,276,243,2023-06-08,1574
73,coeeunju,jihun38@example.net,미영,87,307,144,2023-06-22,1920
74,jeonghun20,yunhyeonsug@example.com,옥순,48,121,315,2025-01-25,1503
75,jiagang,caeweonan@example.org,지아,65,457,259,2025-03-11,2379
76,jeongsu71,yeongsunjin@example.com,지훈,39,87,111,2024-02-08,1879
77,ni,yeonggilgim@example.com,명숙,19,494,93,2025-05-09,1278
78,seungmini,misug35@example.net,영자,64,333,59,2023-09-28,2222
79,heoogja,tgim@example.com,서준,26,212,230,2024-02-09,2463
80,iseunghyeon,yeongceol51@example.org,수진,7,23,369,2023-10-30,837
81,yangsanghyeon,subini@example.net,승현,19,480,412,2024-04-03,2431
82,yeonggili,siu89@example.org,순옥,54,165,140,2024-06-18,2081
83,jeonghoo,hyeonji84@example.net,지혜,63,164,150,2023-09-15,1725
84,junyeongim,gohyeonju@example.net,춘자,24,83,405,2024-05-20,1499
85,yeweon99,zgo@example.net,영숙,6,312,410,2023-12-08,2035
86,gimsugja,ujin07@example.org,은지,93,399,371,2023-11-15,2087
87,minseobag,qhwang@example.net,준서,12,490,337,2023-10-02,2269
88,jeongja00,gweonjeongsu@example.com,종수,56,208,182,2024-10-10,1532
89,gimsumin,simyunseo@example.net,영환,13,449,429,2024-09-11,886
90,minjungang,gyeongsubag@example.com,경희,68,343,113,2024-05-14,2088
91,jeongung74,junyeong50@example.net,미영,54,106,222,2024-11-25,2305
92,hyejin60,jihunhan@example.com,정자,14,194,203,2023-10-02,1260
93,eungyeongbag,xson@example.net,현정,97,165,294,2025-01-15,1714
94,yeongsun80,gimyeongho@example.com,도현,18,388,213,2024-09-16,2404
95,kgim,jiyeon27@example.com,유진,33,216,347,2023-08-13,1419
96,gimareum,jeongho11@example.com,경수,89,172,116,2024-08-23,1582
97,dohyeonseong,seonghun76@example.net,예준,13,432,327,2024-01-16,1052
98,yeongjin78,yejun43@example.com,정식,48,340,273,2023-09-09,2253
99,bagyunseo,wi@example.org,지영,100,163,153,2024-10-18,1571
100,bagseongsu,gimogsun@example.net,은영,83,126,5,2024-04-11,1561
101,areumeom,yeeuncoe@example.net,성호,10,233,158,2023-12-07,1978
102,haeuni,bagjiu@example.org,정호,20,3,308,2024-10-24,1020
103,anjiyeon,jihunbag@example.com,서준,59,252,348,2025-01-04,1974
104,kjang,seonghogim@example.com,예준,2,326,361,2025-05-24,2325
105,dgim,baghyeonju@example.com,영숙,61,465,341,2024-01-31,1487
106,mijeong84,bageungyeong@example.net,재현,17,320,268,2025-05-15,1054
107,seonghogang,wyun@example.net,은정,27,327,226,2024-03-22,884
108,zha,yeonghwan69@example.com,예은,7,285,109,2024-01-11,1593
109,subincoe,pgim@example.com,영숙,51,223,244,2024-07-26,1352
110,ki,sanghunbag@example.com,보람,4,225,265,2024-04-09,2330
111,iyeongil,seongsujang@example.com,성현,32,299,201,2023-10-04,1846
112,lgweon,hyeonjeongyang@example.com,채원,93,447,100,2024-11-20,1037
113,yeji31,hcoe@example.com,영철,68,473,177,2025-02-08,2265
114,cunja69,junhyeog10@example.net,경자,18,319,57,2025-03-07,1819
115,hongeunseo,abae@example.org,서연,45,341,102,2024-03-13,1462
116,iogsun,bgim@example.org,민서,74,330,153,2025-02-22,944
117,gangminjun,gimhyeonju@example.com,건우,73,392,44,2024-01-18,1999
