project_id,title,creator_name,goal_amount,like_count,created_at
28,트리플 버퍼 모듈형 우연성,이상호,17621817,48,2025-05-11
16,무결점의 무해한 환경,최보람,28769854,106,2024-09-27
24,독보적인 결정 코어,김정수,47837213,0,2024-08-19
18,1:1 비대칭 전략,우영미,31402575,33,2025-02-20
9,최전방 상황에 맞는 모니터링,안영환,43255860,133,2024-09-27
10,1:1 객체 지향적 인코딩,김서준,29158009,166,2024-10-07
29,독보적인 다음 세대 엔진,김지민,4097705,111,2024-09-24
25,공개 아키텍쳐 5세대 고객 만족,백은지,40497426,25,2024-07-31
13,프로그래밍 가능한 최대화 허브,최정호,40406933,145,2025-01-25
1,더 작아진 실행 제품,김건우,47350619,168,2024-06-28
5,복제된 밀착 구조체,최정남,40124884,45,2025-03-06
17,중심이 역수 생산 능력,이현주,30763902,157,2024-08-11
6,다용도 웹 사용 가능 인코딩,이성현,1150121,21,2024-08-23
14,융합력있는 실행 제품,이지영,30512036,10,2025-02-15
12,원활한 필수 포탈,서정호,28804868,11,2024-12-16
23,업그레이드 가능한 클라이언트 단 미디어 정보,홍은주,6336398,130,2024-12-02
2,설정 가능한 분리된 시간화,전우진,14846691,29,2025-05-18
3,조직화된 필수 포탈,김지우,21159937,191,2025-01-07
26,관리된 방향 예산 관리,이서윤,17639963,134,2024-12-04
4,공개 아키텍쳐 역수 에뮬레이션,김미경,32519134,136,2024-12-26
22,다중 주파수 무관리 태도,주지훈,47376027,168,2024-08-20
